C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 0.00                 1.33                0.50	 0.33                 1.00                0.72	 0.67                 3.01                1.40	TcIL3000.A.H_000006400.1  hypothetical protein
 0.00                 1.15                1.12	 1.33                 3.00                0.63	 2.33                 1.11                2.67	TcIL3000.A.H_000006500.1  hypothetical protein
 9.00                 0.74                0.64	 5.00                 0.92                1.00	 4.67                 1.92                1.87	TcIL3000.A.H_000006600.1  E2-like ubiquitin-conjugation enzyme
 4.00                 1.42                3.79	 2.67                 0.44                0.31	 1.00                 0.41                3.01	TcIL3000.A.H_000006700.1  expression site- associated gene (ESAG) protein, putative
 1.33                 0.73                0.79	 1.67                 2.00                0.79	 2.00                 0.67                2.00	TcIL3000.A.H_000006800.1  hypothetical protein, conserved
 2.33                 1.40                2.33	 0.67                 1.80                1.33	 1.67                 1.26                1.17	TcIL3000.A.H_000006900.1  hypothetical protein, conserved
 8.33                 1.77                1.49	16.67                 1.77                1.61	 9.00                 0.83                1.11	TcIL3000.A.H_000007000.1  trans-sialidase
21.67                 1.03                0.78	28.00                 1.39                0.93	25.67                 1.07                1.66	TcIL3000.A.H_000007100.1  hypothetical protein, conserved
 8.00                 0.82                0.42	15.33                 1.07                1.39	 8.00                 1.29                2.24	TcIL3000.A.H_000007200.1  trans-sialidase
76.33                 1.02                0.91	81.67                 1.16                0.80	100.00                 1.00                1.43	TcIL3000.A.H_000007300.1  hypothetical protein, conserved
 9.33                 1.38                1.14	13.67                 1.71                0.93	 9.33                 1.13                1.81	TcIL3000.A.H_000007400.1  trans-sialidase
28.33                 0.91                0.71	38.33                 1.00                1.17	42.67                 0.69                1.28	TcIL3000.A.H_000007500.1  hypothetical protein, conserved
12.00                 0.40                1.07	14.00                 1.71                1.32	 8.00                 1.26                1.32	TcIL3000.A.H_000007600.1  trans-sialidase
25.67                 0.96                0.80	42.00                 0.91                1.10	40.67                 0.99                1.57	TcIL3000.A.H_000007700.1  hypothetical protein, conserved
20.67                 1.03                1.03	20.33                 0.70                1.18	20.67                 1.94                1.31	TcIL3000.A.H_000007800.1  Invariant surface glycoprotein, putative
12.33                 0.58                1.27	15.00                 1.04                0.64	11.00                 1.27                0.62	TcIL3000.A.H_000007900.1  Invariant surface glycoprotein, putative
 9.33                 0.80                3.09	10.67                 1.42                0.82	12.33                 1.29                1.52	TcIL3000.A.H_000008000.1  Invariant surface glycoprotein, putative
10.33                 1.03                1.62	18.00                 1.33                1.47	22.33                 1.28                1.86	TcIL3000.A.H_000008100.1  Invariant surface glycoprotein, putative
 0.67                 1.40                1.00	 0.00                 0.43                1.60	 0.33                 0.75                2.59	TcIL3000.A.H_000008200.1  hypothetical protein, conserved
 1.67                 0.36                1.00	 2.67                 0.33                0.86	 1.33                 1.00                1.60	TcIL3000.A.H_000008300.1  hypothetical protein, conserved
 9.33                 1.03                0.71	 7.00                 1.21                1.80	 8.67                 0.94                0.76	TcIL3000.A.H_000008400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 1.33                 1.67                0.75	 0.67                 0.60                0.75	TcIL3000.A.H_000008500.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 0.60                0.75	 1.00                 0.56                1.00	 0.00                 1.67                0.75	TcIL3000.A.H_000008600.1  variant surface glycoprotein (VSG, atypical), putative
 1.33                 1.00                0.86	 0.67                 0.63                1.00	 4.67                 1.20                1.72	TcIL3000.A.H_000008700.1  variant surface glycoprotein (VSG, atypical), putative
 0.67                 1.00                1.00	 1.33                 2.33                1.00	 0.00                 1.00                0.75	TcIL3000.A.H_000008800.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000008900.1  variant surface glycoprotein (VSG, atypical), putative
 0.67                 1.00                1.00	 2.67                 0.78                1.00	 0.00                 0.46                0.78	TcIL3000.A.H_000009000.1  Trypanosomal VSG domain containing protein, putative
 0.67                 1.00                1.00	 0.67                 1.00                1.00	 0.67                 1.00                1.00	TcIL3000.A.H_000009100.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 0.60                1.00	TcIL3000.A.H_000009200.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 5.67                 0.76                0.45	 8.33                 1.71                0.90	TcIL3000.A.H_000009300.1  expression site-associated gene (ESAG) protein, putative
 1.33                 1.67                0.60	138.00                 1.08                1.39	182.33                 1.48                1.39	TcIL3000.A.H_000009400.1  Trypanosomal VSG domain containing protein, putative
 1.33                 0.60                1.40	 1.33                 2.20                1.87	 2.67                 0.56                1.00	TcIL3000.A.H_000009500.1  hypothetical protein, conserved
 0.67                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000009600.1  expression site-associated gene (ESAG) protein, putative
 0.00                 0.60                1.00	 0.00                 1.00                1.00	 0.00                 1.67                0.60	TcIL3000.A.H_000009700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.67                0.43	 1.33                 1.00                1.00	TcIL3000.A.H_000009800.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 0.60                1.00	TcIL3000.A.H_000009900.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.67                1.00	 2.00                 0.56                0.78	 0.67                 1.67                0.60	TcIL3000.A.H_000010000.1  Trypanosomal VSG domain containing protein, putative
 0.67                 1.00                1.00	 2.00                 2.59                0.78	 0.67                 1.40                1.00	TcIL3000.A.H_000010100.1  expression site-associated gene (ESAG) protein, putative
 0.00                 1.00                1.00	 0.00                 0.27                0.82	 0.67                 1.67                0.43	TcIL3000.A.H_000010200.1  expression site-associated gene (ESAG) protein, putative
 0.00                 1.67                1.00	 2.00                 0.60                3.00	 0.00                 1.00                2.33	TcIL3000.A.H_000010300.1  hypothetical protein, conserved
 0.00                 0.72                1.00	 4.00                 0.85                1.72	 0.67                 0.56                3.67	TcIL3000.A.H_000010400.1  Trypanosomal VSG domain containing protein, putative
 1.33                 1.00                1.00	 5.00                 1.54                0.88	 1.33                 2.33                0.60	TcIL3000.A.H_000010500.1  Trypanosomal VSG domain containing protein, putative
 6.00                 1.36                2.20	 9.33                 1.07                1.36	 6.00                 3.00                1.20	TcIL3000.A.H_000010600.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                0.60	 1.33                 1.40                1.67	 1.00                 1.00                1.00	TcIL3000.A.H_000010700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 0.60                1.67	 0.00                 1.00                0.60	TcIL3000.A.H_000010800.1  Invariant surface glycoprotein, putative
 0.00                 1.00                1.67	 0.00                 1.00                1.67	 0.00                 1.00                1.00	TcIL3000.A.H_000010900.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000011000.1  hypothetical protein, conserved
 1.33                 1.75                1.17	 2.00                 0.46                1.40	 0.67                 0.60                1.00	TcIL3000.A.H_000011100.1  hypothetical protein, conserved
 2.00                 2.26                0.82	 0.67                 0.75                0.57	 0.67                 0.54                1.67	TcIL3000.A.H_000011200.1  hypothetical protein, conserved
 0.67                 1.20                0.37	 0.67                 0.86                0.67	 0.67                 1.60                1.00	TcIL3000.A.H_000011300.1  hypothetical protein, conserved
 0.00                 1.00                0.60	 0.00                 1.67                1.00	 0.00                 0.60                1.00	TcIL3000.A.H_000011400.1  hypothetical protein, conserved
 0.67                 0.60                0.63	 2.67                 1.50                1.23	 0.00                 0.65                1.60	TcIL3000.A.H_000011500.1  hypothetical protein
 1.33                 1.30                0.88	 3.33                 0.65                0.56	 1.33                 1.00                0.79	TcIL3000.A.H_000011600.1  hypothetical protein, conserved
 1.33                 1.00                1.43	 2.33                 1.00                0.89	 1.33                 0.75                1.00	TcIL3000.A.H_000011700.1  hypothetical protein, conserved
 0.67                 1.26                2.40	 3.00                 1.33                0.86	 0.67                 0.86                0.43	TcIL3000.A.H_000011800.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.67                 1.00                1.00	TcIL3000.A.H_000011900.1  hypothetical protein, conserved
 2.00                 0.71                0.65	 7.33                 0.53                0.79	 5.33                 0.56                1.72	TcIL3000.A.H_000012000.1  hypothetical protein, conserved
 5.67                 0.97                0.46	 8.00                 1.15                1.27	12.33                 0.95                1.65	TcIL3000.A.H_000012100.1  protein phosphatase 1, regulatory subunit, putative
24.67                 0.90                1.21	12.00                 1.00                1.59	16.00                 0.79                2.04	TcIL3000.A.H_000012200.1  prefoldin subunit, putative
 5.67                 1.59                1.30	17.33                 0.89                0.88	11.67                 1.71                2.28	TcIL3000.A.H_000012300.1  hypothetical protein, conserved
10.00                 1.23                0.60	10.33                 0.80                1.27	12.67                 1.69                1.45	TcIL3000.A.H_000012400.1  hypothetical protein, conserved
19.33                 0.84                1.68	25.00                 1.36                1.00	18.33                 1.28                0.80	TcIL3000.A.H_000012500.1  V-type proton ATPase subunit D, putative
 4.00                 1.78                0.81	 3.33                 0.91                1.00	 7.00                 1.42                1.47	TcIL3000.A.H_000012600.1  hypothetical protein, conserved
10.67                 0.74                0.92	10.00                 1.23                0.54	 8.33                 0.95                1.29	TcIL3000.A.H_000012700.1  stomatin-like protein, putative
 1.33                 1.00                0.63	 1.67                 1.00                0.63	 0.67                 2.00                1.00	TcIL3000.A.H_000012800.1  hypothetical protein, conserved
20.00                 0.64                0.98	20.00                 1.41                1.21	19.00                 0.68                1.55	TcIL3000.A.H_000012900.1  hypothetical protein, conserved
 4.67                 1.61                1.29	 6.00                 0.97                1.00	 9.33                 0.50                2.08	TcIL3000.A.H_000013000.1  methyltransferase, putative
 3.67                 0.19                0.46	 0.00                 1.56                0.67	 1.33                 0.80                2.00	TcIL3000.A.H_000013100.1  hypothetical protein, conserved
 4.67                 1.45                1.12	 4.00                 1.27                1.28	 8.00                 0.45                1.38	TcIL3000.A.H_000013200.1  monocarboxylate transporter-like protein
12.33                 1.28                0.83	13.00                 1.52                1.69	 8.33                 1.08                1.35	TcIL3000.A.H_000013300.1  NADH-ubiquinone oxidoreductase, mitochondrial, putative
 6.00                 1.04                0.79	 2.67                 1.13                1.00	 2.67                 1.75                0.73	TcIL3000.A.H_000013400.1  invariant surface glycoprotein, putative
 0.00                 2.67                1.00	 0.00                 0.75                1.33	 0.00                 0.83                1.00	TcIL3000.A.H_000013500.1  hypothetical protein, conserved
16.67                 1.38                0.84	16.33                 1.26                1.70	14.67                 0.85                2.57	TcIL3000.A.H_000013600.1  invariant surface glycoprotein, putative
 8.00                 1.35                1.17	 9.33                 1.21                0.87	 7.33                 1.67                1.86	TcIL3000.A.H_000013700.1  trans-sialidase, putative
 6.67                 0.51                1.21	10.67                 1.19                2.14	 5.33                 0.50                1.46	TcIL3000.A.H_000013800.1  trans-sialidase, putative
20.33                 0.93                0.97	20.67                 0.79                1.17	18.00                 0.84                1.85	TcIL3000.A.H_000013900.1  invariant surface glycoprotein, putative
 2.00                 2.26                1.12	 2.67                 1.15                0.60	 1.33                 1.18                1.29	TcIL3000.A.H_000014000.1  hypothetical protein, conserved
 1.67                 1.00                0.33	 0.00                 0.63                1.67	 0.00                 1.00                0.67	TcIL3000.A.H_000014100.1  hypothetical protein, conserved
32.33                 1.11                1.03	26.33                 1.02                0.98	38.67                 1.30                1.87	TcIL3000.A.H_000014200.1  Invariant surface glycoprotein, putative
 4.67                 0.64                0.74	 7.67                 1.00                0.64	 4.00                 1.65                2.58	TcIL3000.A.H_000014300.1  75 kDa invariant surface glycoprotein
30.67                 0.68                0.71	30.00                 1.27                0.92	38.33                 1.31                1.40	TcIL3000.A.H_000014400.1  Invariant surface glycoprotein, putative
26.67                 0.82                0.83	33.67                 0.88                0.93	39.33                 1.64                1.26	TcIL3000.A.H_000014500.1  Invariant surface glycoprotein, putative
 3.33                 3.00                0.85	 1.33                 1.40                0.63	 0.67                 1.22                2.00	TcIL3000.A.H_000014600.1  Endonuclease-reverse transcriptase, putative
13.33                 1.32                1.18	17.00                 0.97                0.88	15.00                 1.25                1.29	TcIL3000.A.H_000014700.1  Heat shock protein 83, putative
 7.00                 1.27                1.13	10.67                 1.32                0.95	10.67                 1.18                1.12	TcIL3000.A.H_000014800.1  Heat shock protein 83, putative
19.00                 1.35                0.78	18.67                 0.70                1.63	17.33                 1.27                2.54	TcIL3000.A.H_000014900.1  dipeptidyl-peptidase 8-like serine peptidase
 2.67                 1.33                0.35	 3.00                 0.54                1.46	 5.33                 0.76                1.00	TcIL3000.A.H_000015000.1  caltractin, putative
 6.33                 1.63                1.18	 4.00                 0.74                0.50	 3.33                 1.53                1.69	TcIL3000.A.H_000015100.1  hypothetical protein, conserved
 8.67                 1.86                0.52	 6.00                 1.69                1.12	 5.33                 0.61                2.63	TcIL3000.A.H_000015200.1  hypothetical protein, conserved
36.33                 0.90                0.98	23.67                 1.04                0.93	30.00                 0.99                1.47	TcIL3000.A.H_000015300.1  acid phosphatase, putative
 6.00                 1.11                0.58	 5.00                 1.85                1.39	 3.33                 0.91                1.31	TcIL3000.A.H_000015400.1  hypothetical protein, conserved
 5.00                 2.00                1.00	 7.33                 1.38                1.23	 3.67                 0.55                1.92	TcIL3000.A.H_000015500.1  chromatin assembly factor 1 subunit B, putative
17.33                 2.30                1.05	21.33                 1.19                1.19	17.00                 0.69                1.73	TcIL3000.A.H_000015600.1  nucleoporin interacting component (NUP93), putative
 2.00                 0.58                0.59	 4.67                 0.68                1.92	 2.00                 1.54                2.00	TcIL3000.A.H_000015700.1  small nuclear RNA-activating protein
 9.67                 1.37                0.84	11.33                 0.49                1.00	 8.00                 0.50                1.24	TcIL3000.A.H_000015800.1  ATP-dependent DEAD/H RNA helicase, putative
74.00                 1.04                0.97	74.00                 0.82                0.74	82.33                 1.26                1.15	TcIL3000.A.H_000015900.1  Alternative oxidase, mitochondrial
10.67                 1.06                1.30	 7.33                 1.50                1.16	 9.67                 0.93                1.17	TcIL3000.A.H_000016000.1  inositol-3-phosphate synthase, putative
18.33                 0.77                1.14	17.67                 0.95                2.00	16.33                 1.00                1.92	TcIL3000.A.H_000016100.1  hypothetical protein, conserved
20.67                 1.30                1.05	16.67                 0.91                0.82	17.33                 0.60                0.98	TcIL3000.A.H_000016200.1  hypothetical protein, conserved
 2.67                 1.27                0.78	 3.33                 0.89                1.89	 3.67                 2.59                1.25	TcIL3000.A.H_000016300.1  hypothetical protein, conserved
 0.67                 1.67                2.20	 2.00                 1.00                1.70	 2.00                 0.50                0.85	TcIL3000.A.H_000016400.1  hypothetical protein, conserved
 6.33                 0.68                0.82	 3.00                 1.00                1.10	 4.67                 2.86                1.56	TcIL3000.A.H_000016500.1  D-tyrosyl-tRNA deacylase, putative
12.67                 1.09                0.91	 9.33                 1.47                1.52	14.33                 0.74                3.00	TcIL3000.A.H_000016600.1  TPR repeat, putative
 1.33                 1.20                3.33	 0.67                 2.00                1.00	 2.00                 0.43                0.50	TcIL3000.A.H_000016700.1  hypothetical protein
 4.67                 0.87                0.74	 4.67                 0.93                1.05	 4.00                 0.52                1.00	TcIL3000.A.H_000016800.1  Type IIB DNA topoisomerase, putative
12.33                 1.09                1.05	16.00                 0.62                0.83	21.00                 1.68                1.70	TcIL3000.A.H_000016900.1  Flagellar Member 1
 5.67                 1.48                0.74	13.67                 1.00                0.68	 9.00                 0.58                1.61	TcIL3000.A.H_000017000.1  kinetoplastid kinetochore protein 14
 2.67                 1.07                1.31	 4.33                 1.39                0.94	 7.67                 1.00                1.14	TcIL3000.A.H_000017100.1  hypothetical protein, conserved
13.67                 0.77                1.24	12.33                 1.30                0.98	14.33                 1.00                1.20	TcIL3000.A.H_000017200.1  hypothetical protein, conserved
14.00                 1.77                0.68	14.67                 0.90                1.21	20.33                 0.78                1.65	TcIL3000.A.H_000017300.1  pre-mRNA splicing factor ATP-dependent RNA helicase, putative
 2.00                 1.72                1.59	 3.00                 0.75                0.57	 6.00                 0.73                1.94	TcIL3000.A.H_000017400.1  Phytochelatin synthase, putative
 7.33                 1.11                1.08	14.33                 1.40                1.13	12.00                 1.59                1.34	TcIL3000.A.H_000017500.1  hypothetical protein, conserved
 6.67                 1.18                2.23	12.33                 0.79                0.70	 8.67                 0.82                1.53	TcIL3000.A.H_000017600.1  terminal uridylyltransferase 3, putative
 1.33                 0.82                0.73	 2.00                 1.22                1.29	 3.00                 1.15                0.75	TcIL3000.A.H_000017700.1  hypothetical protein, conserved
50.67                 0.74                0.74	52.67                 0.94                1.51	44.00                 1.17                1.60	TcIL3000.A.H_000017800.1  40S ribosomal protein S24E, putative
70.33                 1.16                0.90	67.00                 1.12                1.72	59.67                 0.63                1.37	TcIL3000.A.H_000017900.1  40S ribosomal protein S24E, putative
11.67                 0.94                1.08	11.67                 1.06                0.95	11.00                 0.87                1.47	TcIL3000.A.H_000018000.1  hypothetical protein, conserved
10.67                 0.65                0.53	 3.67                 2.29                1.47	 8.33                 1.64                0.74	TcIL3000.A.H_000018100.1  ATP-binding cassette protein, putative
 1.67                 0.93                1.29	 2.00                 1.46                0.59	 2.33                 0.50                1.58	TcIL3000.A.H_000018200.1  hypothetical protein, conserved
 0.00                 1.20                0.75	 1.67                 2.33                1.00	 0.33                 1.00                1.26	TcIL3000.A.H_000018300.1  hypothetical protein, conserved
 6.00                 0.70                1.48	 8.33                 1.28                1.00	11.33                 0.97                1.41	TcIL3000.A.H_000018400.1  hypothetical protein, conserved
10.67                 1.08                1.14	 8.33                 0.43                1.77	 9.33                 0.86                1.91	TcIL3000.A.H_000018500.1  PHF5-like protein, putative
17.67                 1.38                0.88	22.00                 0.77                1.44	16.67                 0.82                0.98	TcIL3000.A.H_000018600.1  predicted zinc finger protein
159.67                 1.04                1.25	174.67                 0.99                1.08	149.33                 1.07                1.60	TcIL3000.A.H_000018700.1  succinyl-CoA ligase [GDP-forming] beta-chain, putative
16.33                 0.67                1.60	20.67                 0.71                1.26	21.33                 1.09                1.63	TcIL3000.A.H_000018800.1  bromodomain factor 2 protein, putative
12.67                 1.65                1.02	 7.33                 1.11                1.83	13.67                 0.95                0.94	TcIL3000.A.H_000018900.1  GTP-binding protein, putative
21.67                 0.88                0.97	13.33                 0.96                1.12	13.67                 0.68                1.38	TcIL3000.A.H_000019000.1  MTR4      
 9.33                 1.22                1.00	 9.67                 1.12                2.41	10.00                 0.88                1.17	TcIL3000.A.H_000019100.1  exosome complex exonuclease RRP41A
 3.00                 0.69                0.95	 4.33                 1.90                1.09	 5.33                 0.93                1.72	TcIL3000.A.H_000019200.1  RNA-binding protein, putative
 9.00                 0.76                0.59	 9.33                 1.06                0.77	 6.67                 0.64                5.02	TcIL3000.A.H_000019300.1  hypothetical protein, conserved
 8.00                 1.72                1.41	 6.00                 0.97                0.93	 9.67                 1.42                1.05	TcIL3000.A.H_000019400.1  cullin, putative
25.00                 0.95                1.25	23.00                 0.85                1.24	24.00                 0.97                2.35	TcIL3000.A.H_000019500.1  fibrillarin
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000019600:tRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000019700:tRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000019800:tRNA unspecified product
 8.00                 0.93                1.14	17.67                 0.63                0.79	25.67                 0.90                1.30	TcIL3000.A.H_000019900.1  transportin2- like protein
18.33                 0.92                0.92	15.33                 1.01                1.53	22.67                 1.09                1.38	TcIL3000.A.H_000020000.1  metallo-peptidase, Clan MA(E) Family M41
13.33                 0.70                0.57	19.33                 0.64                1.04	16.00                 1.09                1.68	TcIL3000.A.H_000020100.1  hypothetical protein, conserved
 4.00                 1.50                1.82	 1.67                 2.00                0.85	 4.00                 1.12                1.27	TcIL3000.A.H_000020200.1  hypothetical protein, conserved
12.00                 1.60                1.18	11.67                 1.13                0.71	14.67                 1.19                1.32	TcIL3000.A.H_000020300.1  hypothetical protein, conserved
204.00                 0.55                2.13	216.33                 2.44                3.86	225.33                 1.21                1.78	TcIL3000.A.H_000020400.1  dihydrolipoamide acetyltransferase E2 subunit, putative
 6.33                 0.73                1.18	 3.33                 0.37                2.27	 5.33                 1.11                2.00	TcIL3000.A.H_000020500.1  methyltransferase domain containing protein, putative
 7.33                 1.05                0.59	 8.00                 1.10                0.93	12.33                 1.25                2.69	TcIL3000.A.H_000020600.1  hypothetical protein, conserved
 7.67                 1.68                0.66	 9.67                 0.81                1.14	10.00                 0.96                1.82	TcIL3000.A.H_000020700.1  VRR-NUC domain containing protein, putative
 4.67                 1.04                1.38	 3.67                 2.33                1.32	 8.67                 1.26                1.88	TcIL3000.A.H_000020800.1  folylpolyglutamate synthase, putative
 2.67                 1.91                0.71	 2.00                 0.64                1.78	 2.33                 1.67                1.08	TcIL3000.A.H_000020900.1  chromatin binding protein, putative
 1.67                 1.12                1.11	 0.67                 1.40                0.72	 3.00                 2.33                1.22	TcIL3000.A.H_000021000.1  hypothetical protein
 2.00                 0.60                1.78	 5.33                 1.87                1.54	 5.00                 0.85                1.21	TcIL3000.A.H_000021100.1  hypothetical protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000021200.1  Endonuclease-reverse transcriptase, putative
 2.67                 0.37                1.00	 2.67                 0.93                0.60	 1.33                 0.41                1.17	TcIL3000.A.H_000021300:rRNA unspecified product
68.67                 1.17                0.58	28.33                 0.90                0.43	21.00                 1.19                1.52	TcIL3000.A.H_000021400:rRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000021500.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000021600.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                0.60	 0.00                 1.00                1.00	TcIL3000.A.H_000021700.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.67                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000021800.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.33                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000021900.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.67                1.67	 0.00                 1.00                1.00	TcIL3000.A.H_000022000.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000022100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 0.60                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000022200.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000022300.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000022400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                0.60	 0.00                 1.00                1.00	TcIL3000.A.H_000022500.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.67	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000022600.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.67                1.00	TcIL3000.A.H_000022700.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000022800.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000022900.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 0.60                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000023000.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000023100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 2.33                1.00	TcIL3000.A.H_000023200.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000023300.1  hypothetical protein, conserved
 0.00                 0.60                1.00	 1.33                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000023400.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.67                1.00	TcIL3000.A.H_000023500.1  Endonuclease-reverse transcriptase, putative
 4.00                 1.25                0.69	 3.33                 0.93                0.76	 5.33                 1.37                1.15	TcIL3000.A.H_000023600.1  retrotransposon hot spot (RHS) protein, putative
